epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,128.52,2.4253,2.28041,2.3084,0.42243,0.41237,0.46156,0.14459,2.321,1.87681,2.36335,0.00186338,0.00186338,0.00186338
71,130.449,2.35322,2.00721,2.19543,0.35888,0.49485,0.44613,0.15015,2.21483,1.96471,2.28596,0.0018614,0.0018614,0.0018614
72,132.229,2.39541,2.22618,2.1483,0.44852,0.43299,0.49084,0.18939,2.02472,1.83712,2.16278,0.00185942,0.00185942,0.00185942
73,133.997,2.22818,2.10751,2.16141,0.44852,0.43299,0.49084,0.18939,2.02472,1.83712,2.16278,0.00185744,0.00185744,0.00185744
74,135.827,2.28419,1.99068,2.16487,0.41935,0.5567,0.39955,0.14407,2.06759,1.96552,2.1941,0.00185546,0.00185546,0.00185546
75,137.611,2.29127,1.92767,2.18681,0.3637,0.40206,0.33765,0.12598,2.06267,2.0938,2.23693,0.00185348,0.00185348,0.00185348
76,139.388,2.34608,2.05442,2.1147,0.3637,0.40206,0.33765,0.12598,2.06267,2.0938,2.23693,0.0018515,0.0018515,0.0018515
77,141.181,2.27635,1.95369,2.1964,0.30334,0.36082,0.28883,0.11678,2.10615,2.11424,2.25226,0.00184952,0.00184952,0.00184952
78,142.993,2.28195,2.08904,2.25999,0.33369,0.45435,0.31577,0.1316,2.06953,1.94261,2.18626,0.00184754,0.00184754,0.00184754
79,144.812,2.25647,1.94754,2.18938,0.33369,0.45435,0.31577,0.1316,2.06953,1.94261,2.18626,0.00184556,0.00184556,0.00184556
80,146.604,2.22421,1.96287,2.19181,0.4595,0.5567,0.4199,0.17937,1.93233,1.73866,2.07308,0.00184358,0.00184358,0.00184358
81,148.396,2.23188,1.86143,2.1185,0.56589,0.58763,0.49794,0.22125,1.89541,1.65401,2.04169,0.0018416,0.0018416,0.0018416
82,150.349,2.18583,1.88377,2.14819,0.4519,0.58763,0.51576,0.21586,1.9899,1.67611,2.0916,0.00183962,0.00183962,0.00183962
83,152.224,2.23724,1.85126,2.11343,0.4519,0.58763,0.51576,0.21586,1.9899,1.67611,2.0916,0.00183764,0.00183764,0.00183764
84,153.997,1.90815,3.30149,1.9276,0.5504,0.4433,0.51232,0.21443,1.98042,1.7716,2.06066,0.00183566,0.00183566,0.00183566
85,155.811,2.14284,1.83293,2.03712,0.60862,0.41237,0.51806,0.21687,1.92693,1.79563,2.00966,0.00183368,0.00183368,0.00183368
86,157.671,2.12477,1.82577,2.05207,0.60862,0.41237,0.51806,0.21687,1.92693,1.79563,2.00966,0.0018317,0.0018317,0.0018317
87,159.454,2.19372,1.86041,2.02997,0.41334,0.56701,0.46725,0.18617,2.04015,1.80244,2.07481,0.00182972,0.00182972,0.00182972
88,161.261,2.15074,1.85835,1.98064,0.43291,0.50515,0.41418,0.17748,2.05159,1.83142,2.09942,0.00182774,0.00182774,0.00182774
89,163.057,2.12252,2.00164,2.01878,0.43291,0.50515,0.41418,0.17748,2.05159,1.83142,2.09942,0.00182576,0.00182576,0.00182576
90,165.01,2.07754,1.78137,2.01095,0.54787,0.49485,0.53515,0.24944,1.89428,1.75527,2.00087,0.00182378,0.00182378,0.00182378
91,166.949,2.08119,1.75285,1.96443,0.52266,0.51546,0.51656,0.23767,1.9574,1.82759,2.06396,0.0018218,0.0018218,0.0018218
92,168.978,2.13356,1.83591,1.98393,0.52266,0.51546,0.51656,0.23767,1.9574,1.82759,2.06396,0.00181982,0.00181982,0.00181982
93,171.052,2.13791,1.78142,2.06438,0.4863,0.58763,0.52656,0.23962,1.88704,1.69402,2.01342,0.00181784,0.00181784,0.00181784
94,173.07,2.21883,1.85105,2.08072,0.5908,0.59794,0.58325,0.26172,1.83922,1.58726,1.97149,0.00181586,0.00181586,0.00181586
95,174.955,2.06548,1.84435,1.98885,0.5908,0.59794,0.58325,0.26172,1.83922,1.58726,1.97149,0.00181388,0.00181388,0.00181388
96,176.936,1.96215,2.03576,1.92991,0.59374,0.62887,0.59238,0.27089,1.87074,1.57092,1.96833,0.0018119,0.0018119,0.0018119
97,178.789,2.02865,1.67096,1.97566,0.53358,0.59794,0.59032,0.28318,1.88013,1.61384,1.96355,0.00180992,0.00180992,0.00180992
98,180.732,2.02171,1.82056,1.94711,0.55237,0.64948,0.59836,0.30806,1.85488,1.61371,1.93511,0.00180794,0.00180794,0.00180794
99,182.561,2.07844,1.7173,1.99567,0.55237,0.64948,0.59836,0.30806,1.85488,1.61371,1.93511,0.00180596,0.00180596,0.00180596
100,184.503,1.99931,1.67296,1.92408,0.54821,0.58763,0.57796,0.28992,1.8823,1.64104,1.96077,0.00180398,0.00180398,0.00180398
101,186.488,1.96085,1.87312,1.88307,0.54298,0.63918,0.56801,0.26329,1.88625,1.6862,1.96315,0.001802,0.001802,0.001802
102,188.443,2.11463,1.74065,2.01147,0.54298,0.63918,0.56801,0.26329,1.88625,1.6862,1.96315,0.00180002,0.00180002,0.00180002
103,190.42,2.14328,1.63389,1.95533,0.5301,0.59316,0.55614,0.25261,1.85778,1.68137,1.94353,0.00179804,0.00179804,0.00179804
104,192.351,2.09197,1.66741,1.96236,0.4509,0.61856,0.47072,0.19046,1.93343,1.78913,1.97134,0.00179606,0.00179606,0.00179606
105,194.268,2.02026,1.64602,1.93771,0.4509,0.61856,0.47072,0.19046,1.93343,1.78913,1.97134,0.00179408,0.00179408,0.00179408
106,196.325,2.06222,1.66167,1.98595,0.48941,0.57732,0.47457,0.20249,1.93548,1.73784,1.97821,0.0017921,0.0017921,0.0017921
107,198.203,2.08238,1.8246,1.89738,0.52325,0.59794,0.53965,0.24192,1.90175,1.62546,1.96669,0.00179012,0.00179012,0.00179012
108,200.033,1.98329,1.80185,1.92854,0.52325,0.59794,0.53965,0.24192,1.90175,1.62546,1.96669,0.00178814,0.00178814,0.00178814
109,201.894,2.07644,1.73796,1.91945,0.69291,0.53504,0.60633,0.29992,1.79154,1.54756,1.91774,0.00178616,0.00178616,0.00178616
110,203.737,1.93469,1.58711,1.90366,0.63182,0.52577,0.61652,0.29996,1.80394,1.5577,1.91988,0.00178418,0.00178418,0.00178418
111,205.6,1.97774,1.65897,1.92472,0.63182,0.52577,0.61652,0.29996,1.80394,1.5577,1.91988,0.0017822,0.0017822,0.0017822
112,207.492,1.9862,1.63537,1.89841,0.62165,0.58763,0.62981,0.32998,1.73345,1.54239,1.87814,0.00178022,0.00178022,0.00178022
113,209.352,1.89275,1.59784,1.89723,0.62632,0.54639,0.63153,0.32983,1.73565,1.52751,1.87503,0.00177824,0.00177824,0.00177824
114,211.29,1.93401,1.56887,1.84222,0.65222,0.52577,0.62378,0.30408,1.76458,1.51635,1.89344,0.00177626,0.00177626,0.00177626
115,213.231,2.00096,1.61827,1.85952,0.65222,0.52577,0.62378,0.30408,1.76458,1.51635,1.89344,0.00177428,0.00177428,0.00177428
116,215.08,1.93428,1.59663,1.87399,0.60224,0.68683,0.60804,0.3039,1.72574,1.50906,1.86661,0.0017723,0.0017723,0.0017723
117,217.004,1.92718,1.59427,1.82131,0.51067,0.6563,0.5296,0.27669,1.73468,1.5666,1.86608,0.00177032,0.00177032,0.00177032
118,218.872,1.98571,1.5743,1.80061,0.51067,0.6563,0.5296,0.27669,1.73468,1.5666,1.86608,0.00176834,0.00176834,0.00176834
119,220.766,2.00081,1.62844,1.8593,0.5632,0.65979,0.60347,0.29016,1.76412,1.56179,1.85987,0.00176636,0.00176636,0.00176636
120,222.709,1.89494,1.56739,1.87028,0.59231,0.6701,0.63612,0.29374,1.76736,1.68278,1.86738,0.00176438,0.00176438,0.00176438
121,224.642,1.83702,1.62993,1.79514,0.59231,0.6701,0.63612,0.29374,1.76736,1.68278,1.86738,0.0017624,0.0017624,0.0017624
122,226.582,1.91287,1.6547,1.83601,0.53277,0.69072,0.63859,0.28235,1.75523,1.77271,1.85342,0.00176042,0.00176042,0.00176042
123,228.454,1.82887,1.57638,1.77587,0.53883,0.68041,0.60133,0.27412,1.82831,1.67338,1.87912,0.00175844,0.00175844,0.00175844
124,230.393,1.78473,1.56859,1.81662,0.53883,0.68041,0.60133,0.27412,1.82831,1.67338,1.87912,0.00175646,0.00175646,0.00175646
125,232.316,1.72991,1.68549,1.75645,0.57631,0.68041,0.62888,0.27174,1.89994,1.6044,1.92476,0.00175448,0.00175448,0.00175448
126,234.27,1.8824,1.61499,1.88554,0.66771,0.61856,0.63475,0.31773,1.75854,1.48177,1.85827,0.0017525,0.0017525,0.0017525
127,236.172,1.86947,1.66187,1.77097,0.66771,0.61856,0.63475,0.31773,1.75854,1.48177,1.85827,0.00175052,0.00175052,0.00175052
128,238.201,1.95788,1.54431,1.86436,0.6845,0.53608,0.63374,0.30034,1.82286,1.51121,1.89528,0.00174854,0.00174854,0.00174854
129,240.419,1.93268,1.61779,1.82373,0.55167,0.72307,0.67067,0.30182,1.85921,1.47758,1.91179,0.00174656,0.00174656,0.00174656
130,242.672,1.94678,1.51703,1.81797,0.69744,0.64165,0.71296,0.34918,1.76804,1.40866,1.84684,0.00174458,0.00174458,0.00174458
131,244.636,1.94978,1.57667,1.82764,0.69744,0.64165,0.71296,0.34918,1.76804,1.40866,1.84684,0.0017426,0.0017426,0.0017426
132,246.536,1.83116,1.50239,1.75165,0.72219,0.59794,0.67867,0.30657,1.85441,1.49145,1.89075,0.00174062,0.00174062,0.00174062
133,248.561,1.83471,1.55173,1.75306,0.69195,0.59794,0.65845,0.29079,1.85591,1.51301,1.89262,0.00173864,0.00173864,0.00173864
134,250.496,1.95964,1.54062,1.80648,0.69195,0.59794,0.65845,0.29079,1.85591,1.51301,1.89262,0.00173666,0.00173666,0.00173666
135,252.385,1.93691,1.52919,1.80385,0.63187,0.63704,0.65022,0.31651,1.75787,1.48289,1.81835,0.00173468,0.00173468,0.00173468
136,254.395,1.75918,1.41995,1.71028,0.58148,0.73051,0.62662,0.30018,1.77446,1.51675,1.86898,0.0017327,0.0017327,0.0017327
137,256.199,1.80505,1.49989,1.77062,0.58148,0.73051,0.62662,0.30018,1.77446,1.51675,1.86898,0.00173072,0.00173072,0.00173072
138,258.068,1.7842,1.44586,1.75128,0.62801,0.72165,0.65473,0.31561,1.72334,1.47303,1.81262,0.00172874,0.00172874,0.00172874
139,259.931,1.80775,1.53254,1.79865,0.61928,0.70103,0.67162,0.301,1.76545,1.43796,1.83066,0.00172676,0.00172676,0.00172676
140,261.798,1.76849,1.42727,1.74866,0.61928,0.70103,0.67162,0.301,1.76545,1.43796,1.83066,0.00172478,0.00172478,0.00172478
141,263.66,1.82923,1.52591,1.72847,0.60494,0.69461,0.70451,0.33068,1.70853,1.38446,1.81082,0.0017228,0.0017228,0.0017228
142,265.544,1.76247,1.40801,1.77985,0.64598,0.69605,0.72059,0.34976,1.75219,1.36372,1.84571,0.00172082,0.00172082,0.00172082
143,267.481,1.7854,1.468,1.738,0.64598,0.69605,0.72059,0.34976,1.75219,1.36372,1.84571,0.00171884,0.00171884,0.00171884
144,269.387,1.7558,1.48298,1.6983,0.67866,0.71853,0.74385,0.35333,1.72846,1.33814,1.82997,0.00171686,0.00171686,0.00171686
145,271.275,1.89613,1.49387,1.79007,0.68676,0.74227,0.75611,0.39492,1.69953,1.31245,1.79865,0.00171488,0.00171488,0.00171488
146,273.269,1.89462,1.46513,1.70259,0.65574,0.75258,0.74323,0.36012,1.76975,1.49801,1.83867,0.0017129,0.0017129,0.0017129
147,275.171,1.70841,1.43521,1.73367,0.65574,0.75258,0.74323,0.36012,1.76975,1.49801,1.83867,0.00171092,0.00171092,0.00171092
148,277.204,1.84026,1.42817,1.7091,0.64908,0.6701,0.68816,0.34037,1.7587,1.57194,1.83381,0.00170894,0.00170894,0.00170894
